idhspid,bidx,country_str,dhs_code,kidbirthmo,kidbirthyr,precip_12m,z_precip_12m,n_months_matched,n_years_avg
        340021004141  2,1,HN,16,1,2011,146.0944680128418,.2028350388937632,12,15
        340021004141  2,2,HN,16,2,2007,127.4337220396315,-.0930868649659926,12,15
        340021005 11  2,1,HN,16,8,2010,138.9239721507501,.0919803905922987,12,15
        340021005 21  2,1,HN,16,2,2008,147.394609498773,.1343586755937015,12,15
        340021005 31  3,1,HN,16,10,2007,132.386952376035,-.0264574632512956,12,15
        340021005 61  2,1,HN,16,4,2009,120.8685898908292,-.3261477566464717,12,15
        340021005 71  1,1,HN,16,5,2010,139.4126317645691,.1494541305792142,12,15
        340021005 81  2,1,HN,16,6,2011,160.6456480818606,.5905084245292932,12,15
        340021005 81  2,2,HN,16,4,2009,120.8685898908292,-.3261477566464717,12,15
        340021005 81  2,3,HN,16,10,2007,132.386952376035,-.0264574632512956,12,15
        340021005111  1,1,HN,16,7,2007,134.8764456797471,-.1135924489420222,12,15
        340021005121  2,1,HN,16,6,2009,128.4090831797405,-.1280421671582414,12,15
        340021005191  1,1,HN,16,7,2009,112.9623200443113,-.2705799262619765,12,15
        340021006 11  2,1,HN,16,7,2009,112.9623200443113,-.2705799262619766,12,15
        340021006 21  2,1,HN,16,9,2011,157.0386547875943,.5426237886864702,12,15
        340021006 21  2,2,HN,16,3,2009,120.786253972016,-.3319106315833331,12,15
        340021006 51  2,1,HN,16,6,2010,133.3680120774294,.0683839573680923,12,15
        340021006 71  2,1,HN,16,12,2009,148.1333843787514,.2921449233662505,12,15
        340021006 91  2,1,HN,16,10,2010,132.0029289810641,-.0250256481219465,12,15
        340021006 91  2,2,HN,16,12,2006,135.5429867812099,.1672308452035638,12,15
        340021006111  5,1,HN,16,1,2011,146.0944680128418,.2028350388937633,12,15
        340021006191  2,1,HN,16,9,2009,131.7449005043582,.0200732667573872,12,15
        340021007 21  2,1,HN,16,5,2009,123.1328194605496,-.2003138030278811,12,15
        340021007 21  2,2,HN,16,11,2007,152.91130629609,.2996704432177337,12,15
        340021007 31  2,1,HN,16,9,2011,157.0386547875943,.5426237886864701,12,15
        340021007 51  2,1,HN,16,1,2009,122.7525948467445,-.2485345638140397,12,15
        340021007111  2,1,HN,16,8,2008,137.4314256290915,-.2053543227531985,12,15
        340021007151  2,1,HN,16,9,2011,157.0386547875943,.5426237886864702,12,15
        340021007151  2,2,HN,16,9,2007,138.1727382284214,.0698475739453736,12,15
        340021007161  1,1,HN,16,9,2008,137.0477087909841,-.2106778316246124,12,15
        340021007161  1,2,HN,16,9,2007,138.1727382284214,.0698475739453736,12,15
        340021007181  2,1,HN,16,5,2009,123.1328194605496,-.200313803027881,12,15
        340021008141  3,1,HN,16,4,2008,146.1609565977809,.0582518135019027,12,15
        340021008171  4,1,HN,16,7,2009,112.9623200443113,-.2705799262619766,12,15
        340021008191  2,1,HN,16,5,2010,139.4126317645691,.1494541305792142,12,15
        340021008191  2,2,HN,16,8,2008,137.4314256290915,-.2053543227531984,12,15
        340021008201  6,1,HN,16,5,2010,139.4126317645691,.1494541305792142,12,15
        340021008201  6,2,HN,16,4,2008,146.1609565977809,.0582518135019027,12,15
        340021009 11  2,1,HN,16,4,2011,142.1365080950281,.0249857137880118,12,15
        340021009 71  2,1,HN,16,1,2008,150.258066847045,.2588358501698945,12,15
        340021009 91  1,1,HN,16,8,2011,147.8952525556533,.410345567906113,12,15
        340021009 91  1,2,HN,16,8,2011,147.8952525556533,.410345567906113,12,15
        340021009 91  1,3,HN,16,8,2008,137.4314256290915,-.2053543227531984,12,15
        340021009101  2,1,HN,16,11,2011,141.2753260883737,.2635793408232701,12,15
        340021009101  2,2,HN,16,8,2007,152.9713149830589,.2873084703834087,12,15
        340021009121  1,1,HN,16,6,2010,133.3680120774294,.0683839573680923,12,15
        340021009141  2,1,HN,16,1,2009,122.7525948467445,-.2485345638140397,12,15
        340021009151  1,1,HN,16,5,2011,147.4918565036102,.3906905621510875,12,15
        340021009151  1,2,HN,16,9,2008,137.0477087909841,-.2106778316246125,12,15
        340021009161  2,1,HN,16,9,2011,157.0386547875943,.5426237886864702,12,15
        340021009161  2,2,HN,16,8,2008,137.4314256290915,-.2053543227531985,12,15
        340021009161  2,3,HN,16,6,2007,130.1836555963902,-.15546815815495,12,15
        340021009171  2,1,HN,16,1,2009,122.7525948467445,-.2485345638140397,12,15
        340021009171  2,2,HN,16,7,2007,134.8764456797471,-.1135924489420222,12,15
        340021009181  2,1,HN,16,4,2011,142.1365080950281,.0249857137880118,12,15
        340021009201  2,1,HN,16,8,2010,138.9239721507501,.0919803905922987,12,15
        340021009201  2,2,HN,16,10,2008,128.7806510269626,-.3441243171874346,12,15
        34002101 11  5,1,HN,2,3,2008,167.3410156110943,.2312055717438819,12,15
        34002101 21  2,1,HN,2,6,2009,159.4464934207651,-.1984954346939646,12,15
        34002101 51  3,1,HN,2,10,2011,161.2714993634127,.2882160875242188,12,15
        34002101 51  3,2,HN,2,3,2008,167.3410156110943,.2312055717438818,12,15
        34002101 51  8,1,HN,2,12,2010,164.2185713287975,.10704717640932,12,15
        34002101 61  6,1,HN,2,5,2008,164.2964190324047,.0756890077253338,12,15
        34002101 61 11,1,HN,2,3,2011,158.0796176657951,-.1100489284138777,12,15
        34002101 71  2,1,HN,2,7,2007,150.109452982857,-.2070835296844665,12,15
        34002101 81  1,1,HN,2,4,2009,154.8336002739176,-.4598693893478593,12,15
        34002101 91  2,1,HN,2,2,2011,160.9385984177074,-.0082533614711762,12,15
        34002101 91  2,2,HN,2,1,2008,172.1280196121199,.4261443694530003,12,15
        340021010 11  6,1,HN,16,8,2010,138.9239721507501,.0919803905922987,12,15
        340021010 11  8,1,HN,16,2,2008,147.394609498773,.1343586755937015,12,15
        340021010 21  2,1,HN,16,7,2009,112.9623200443113,-.2705799262619766,12,15
        340021010 31  2,1,HN,16,6,2011,160.6456480818606,.5905084245292932,12,15
        340021010 41  2,1,HN,16,12,2008,112.7529692832858,-.5530227990169104,12,15
        340021010 61  2,1,HN,16,9,2010,135.9628104098344,.0509241208449714,12,15
        340021010121  5,1,HN,16,1,2009,122.7525948467445,-.2485345638140397,12,15
        340021010131  1,1,HN,16,11,2008,106.6672411176584,-.6997725296544747,12,15
        340021010141  7,1,HN,16,4,2011,142.1365080950281,.0249857137880118,12,15
        340021010141  7,2,HN,16,4,2009,120.8685898908292,-.3261477566464717,12,15
        340021010151  3,1,HN,16,4,2011,142.1365080950281,.0249857137880118,12,15
        340021010151  3,2,HN,16,9,2008,137.0477087909841,-.2106778316246123,12,15
        340021010181  6,1,HN,16,10,2011,142.7049403500134,.2814844119369797,12,15
        340021011 11  2,1,HN,16,12,2007,149.8334169772739,.2249470408051351,12,15
